1.69, 2, white, Exit
1.69, 4, white, Entry
1.69, 4, white, Exit
1.69, 1, white, Entry
1.69, 1, white, Exit
1.69, 2, white, Entry
1.69, 2, white, Exit
1.69, 1, white, Entry
1.69, 1, white, Exit
1.69, 2, white, Entry
1.77, 2, white, Exit
1.77, 4, white, Entry
1.77, 4, white, Exit
1.77, 3, white, Entry
1.77, 3, white, Exit
1.77, 4, white, Entry
1.77, 4, white, Exit
1.77, 1, white, Entry
1.77, 1, white, Exit
1.77, 2, white, Entry
1.77, 2, white, Exit
1.77, 1, white, Entry
1.77, 1, white, Exit
1.77, 2, white, Entry
1.84, 2, white, Exit
1.84, 4, white, Entry
1.84, 4, white, Exit
1.84, 1, white, Entry
1.84, 1, white, Exit
1.84, 2, white, Entry
1.84, 2, white, Exit
1.84, 1, white, Entry
1.90, 1, white, Exit
1.90, 4, white, Entry
1.90, 4, white, Exit
1.90, 1, white, Entry
1.90, 1, white, Exit
1.90, 2, white, Entry
1.90, 2, white, Exit
1.90, 1, white, Entry
1.95, 1, white, Exit
1.95, 4, white, Entry
1.95, 4, white, Exit
1.95, 3, white, Entry
1.95, 3, white, Exit
1.95, 4, white, Entry
1.95, 4, white, Exit
1.95, 1, white, Entry
1.95, 1, white, Exit
1.95, 2, white, Entry
1.95, 2, white, Exit
1.95, 1, white, Entry
2.01, 1, white, Exit
2.01, 4, white, Entry
2.01, 4, white, Exit
2.01, 1, white, Entry
2.01, 1, white, Exit
2.01, 2, white, Entry
2.01, 2, white, Exit
2.01, 1, white, Entry
2.06, 1, white, Exit
2.06, 4, white, Entry
2.06, 4, white, Exit
2.06, 1, white, Entry
2.06, 1, white, Exit
2.06, 2, white, Entry
2.06, 2, white, Exit
2.06, 1, white, Entry
2.12, 1, white, Exit
2.12, 4, white, Entry
2.12, 4, white, Exit
2.12, 3, white, Entry
2.12, 3, white, Exit
2.12, 4, white, Entry
2.12, 4, white, Exit
2.12, 2, white, Entry
2.12, 2, white, Exit
2.12, 1, white, Entry
2.17, 1, white, Exit
2.17, 4, white, Entry
2.17, 4, white, Exit
2.17, 3, white, Entry
2.17, 3, white, Exit
2.17, 4, white, Entry
2.17, 4, white, Exit
2.17, 1, white, Entry
2.17, 1, white, Exit
2.17, 2, white, Entry
2.17, 2, white, Exit
2.17, 1, white, Entry
2.23, 1, white, Exit
2.23, 4, white, Entry
2.23, 4, white, Exit
2.23, 1, white, Entry
2.23, 1, white, Exit
2.23, 2, white, Entry
2.23, 2, white, Exit
2.23, 1, white, Entry
2.28, 1, white, Exit
2.28, 4, white, Entry
2.28, 4, white, Exit
2.28, 2, white, Entry
2.28, 2, white, Exit
2.28, 1, white, Entry
2.34, 1, white, Exit
2.34, 4, white, Entry
2.34, 4, white, Exit
2.34, 1, white, Entry
2.34, 1, white, Exit
2.34, 2, white, Entry
2.34, 2, white, Exit
2.34, 1, white, Entry
2.41, 1, white, Exit
2.41, 4, white, Entry
2.41, 4, white, Exit
2.41, 3, white, Entry
2.41, 3, white, Exit
2.41, 4, white, Entry
2.41, 4, white, Exit
2.41, 1, white, Entry
2.41, 1, white, Exit
2.41, 2, white, Entry
2.41, 2, white, Exit
2.41, 1, white, Entry
2.47, 1, white, Exit
2.47, 4, white, Entry
2.47, 4, white, Exit
2.47, 1, white, Entry
2.47, 1, white, Exit
2.47, 2, white, Entry
2.47, 2, white, Exit
2.47, 1, white, Entry
2.54, 1, white, Exit
2.54, 4, white, Entry
2.54, 4, white, Exit
2.54, 1, white, Entry
2.54, 1, white, Exit
2.54, 2, white, Entry
2.54, 2, white, Exit
2.54, 1, white, Entry
2.59, 1, white, Exit
2.59, 4, white, Entry
2.59, 4, white, Exit
2.59, 1, white, Entry
2.59, 1, white, Exit
2.59, 2, white, Entry
